"filename", "language", "XML", "Shell Script", "Markdown", "HTML", "YAML", "SCSS", "TypeScript", "TypeScript JSX", "JSON with Comments", "Docker", "JSON", "comment", "blank", "total"
"e:\Embedded\MyLogGit\.devcontainer\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 11, 6, 32
"e:\Embedded\MyLogGit\.devcontainer\devcontainer.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 15, 6, 46
"e:\Embedded\MyLogGit\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"e:\Embedded\MyLogGit\.github\ISSUE_TEMPLATE\bug_report.yml", "YAML", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 1, 76
"e:\Embedded\MyLogGit\.github\ISSUE_TEMPLATE\config.yml", "YAML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\Embedded\MyLogGit\README.md", "Markdown", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Embedded\MyLogGit\archetypes\categories.md", "Markdown", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\Embedded\MyLogGit\archetypes\default.md", "Markdown", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"e:\Embedded\MyLogGit\archetypes\tags.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"e:\Embedded\MyLogGit\assets\icons\archives.svg", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\Embedded\MyLogGit\assets\icons\arrow-back.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\Embedded\MyLogGit\assets\icons\back.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\Embedded\MyLogGit\assets\icons\brand-github.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\Embedded\MyLogGit\assets\icons\brand-twitter.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\Embedded\MyLogGit\assets\icons\categories.svg", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"e:\Embedded\MyLogGit\assets\icons\clock.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\Embedded\MyLogGit\assets\icons\copyright.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\Embedded\MyLogGit\assets\icons\date.svg", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"e:\Embedded\MyLogGit\assets\icons\hash.svg", "XML", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"e:\Embedded\MyLogGit\assets\icons\home.svg", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"e:\Embedded\MyLogGit\assets\icons\infinity.svg", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"e:\Embedded\MyLogGit\assets\icons\language.svg", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"e:\Embedded\MyLogGit\assets\icons\link.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\Embedded\MyLogGit\assets\icons\messages.svg", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\Embedded\MyLogGit\assets\icons\rss.svg", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
