Date : 2023-12-14 15:52:40
Directory : e:\Embedded\MyLogGit
Total : 210 files,  17969 codes, 533 comments, 4476 blanks, all 22978 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |         57 |     11,469 |          1 |      2,948 |     14,418 |
| SCSS               |         21 |      2,395 |        350 |        569 |      3,314 |
| YAML               |         30 |      1,639 |         23 |        500 |      2,162 |
| HTML               |         66 |      1,463 |         31 |        201 |      1,695 |
| TypeScript         |          8 |        536 |         79 |        117 |        732 |
| TypeScript JSX     |          1 |        242 |         23 |         60 |        325 |
| XML                |         23 |        164 |          0 |         63 |        227 |
| JSON with Comments |          1 |         25 |         15 |          6 |         46 |
| JSON               |          1 |         20 |          0 |          6 |         26 |
| Docker             |          1 |         15 |         11 |          6 |         32 |
| Shell Script       |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |        210 |     17,969 |        533 |      4,476 |     22,978 |
| . (Files)                                                                      |          4 |        130 |          5 |         26 |        161 |
| .devcontainer                                                                  |          2 |         40 |         26 |         12 |         78 |
| .github                                                                        |          3 |         82 |          0 |          3 |         85 |
| .github (Files)                                                                |          1 |          2 |          0 |          1 |          3 |
| .github\ISSUE_TEMPLATE                                                         |          2 |         80 |          0 |          2 |         82 |
| archetypes                                                                     |          3 |         23 |          0 |          0 |         23 |
| assets                                                                         |         51 |      3,287 |        452 |        806 |      4,545 |
| assets\icons                                                                   |         21 |        114 |          0 |         60 |        174 |
| assets\scss                                                                    |         21 |      2,395 |        350 |        569 |      3,314 |
| assets\scss (Files)                                                            |          6 |        250 |         28 |         67 |        345 |
| assets\scss\external                                                           |          1 |        146 |        129 |         74 |        349 |
| assets\scss\partials                                                           |         14 |      1,999 |        193 |        428 |      2,620 |
| assets\scss\partials (Files)                                                   |          7 |        709 |         17 |        128 |        854 |
| assets\scss\partials\comments                                                  |          1 |        336 |          0 |         59 |        395 |
| assets\scss\partials\highlight                                                 |          2 |        469 |        172 |        153 |        794 |
| assets\scss\partials\layout                                                    |          4 |        485 |          4 |         88 |        577 |
| assets\ts                                                                      |          9 |        778 |        102 |        177 |      1,057 |
| data                                                                           |          1 |         36 |          0 |          9 |         45 |
| exampleSite                                                                    |         54 |     11,619 |         18 |      2,982 |     14,619 |
| exampleSite (Files)                                                            |          2 |        187 |         17 |         35 |        239 |
| exampleSite\content                                                            |         52 |     11,432 |          1 |      2,947 |     14,380 |
| exampleSite\content (Files)                                                    |          2 |         16 |          0 |          0 |         16 |
| exampleSite\content\page                                                       |          5 |         86 |          0 |         12 |         98 |
| exampleSite\content\page\about                                                 |          2 |         30 |          0 |          6 |         36 |
| exampleSite\content\page\archives                                              |          1 |         11 |          0 |          1 |         12 |
| exampleSite\content\page\links                                                 |          1 |         32 |          0 |          5 |         37 |
| exampleSite\content\page\search                                                |          1 |         13 |          0 |          0 |         13 |
| exampleSite\content\post                                                       |         45 |     11,330 |          1 |      2,935 |     14,266 |
| exampleSite\content\post\0-1-嵌软笔试面试                                            |          1 |        245 |          0 |         44 |        289 |
| exampleSite\content\post\0-2-嵌软笔试面试-经典                                         |          1 |        524 |          0 |         96 |        620 |
| exampleSite\content\post\1-0-C语言-杂项                                            |          1 |         13 |          0 |          0 |         13 |
| exampleSite\content\post\1-1-C语言-内存                                            |          1 |        141 |          0 |         18 |        159 |
| exampleSite\content\post\1-2-C语言-指针&数组                                         |          1 |        406 |          0 |         26 |        432 |
| exampleSite\content\post\1-3-C语言-预处理                                           |          1 |        144 |          0 |         18 |        162 |
| exampleSite\content\post\1-4-C语言-关键字                                           |          1 |        243 |          0 |         18 |        261 |
| exampleSite\content\post\2-0-操作系统-杂项                                           |          1 |        147 |          0 |         17 |        164 |
| exampleSite\content\post\2-1-操作系统-进程&线程                                        |          1 |        239 |          0 |         37 |        276 |
